image,output,timestamp
"{""background"": "".gradio/flagged/image/b9db976792e513cd2aa2/background.png"", ""layers"": ["".gradio/flagged/image/61286e961321332f3e6c/layer_0.png""], ""composite"": "".gradio/flagged/image/848c206a31697fb7f7e6/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-12-10 09:40:21.582708
"{""background"": "".gradio/flagged/image/97f904f8277df14ec564/background.png"", ""layers"": ["".gradio/flagged/image/38cbc175cba699146bba/layer_0.png""], ""composite"": "".gradio/flagged/image/82c07d778665020aecde/composite.png"", ""id"": null}","{""label"": null, ""confidences"": null}",2025-12-10 09:40:23.608930
